,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,({'diamond bangle'}),({'diamond'}),0.280130293,0.306188925,0.114006515,0.406976744,1.329168728,0.028233721,1.16995593
1,({'diamond'}),({'diamond bangle'}),0.306188925,0.280130293,0.114006515,0.372340426,1.329168728,0.028233721,1.146911058
2,({'diamond'}),({'diamond bracelet'}),0.306188925,0.428338762,0.16286645,0.531914894,1.241808915,0.031713864,1.221276281
3,({'diamond bracelet'}),({'diamond'}),0.428338762,0.306188925,0.16286645,0.380228137,1.241808915,0.031713864,1.119462041
4,({'diamond earring'}),({'diamond'}),0.552117264,0.306188925,0.208469055,0.377581121,1.233163874,0.039416864,1.114701206
5,({'diamond'}),({'diamond earring'}),0.306188925,0.552117264,0.208469055,0.680851064,1.233163874,0.039416864,1.403365907
6,({'diamond necklace'}),({'diamond'}),0.205211726,0.306188925,0.094462541,0.46031746,1.503377237,0.031628983,1.285591109
7,({'diamond'}),({'diamond necklace'}),0.306188925,0.205211726,0.094462541,0.308510638,1.503377237,0.031628983,1.149386119
8,({'diamond pendant'}),({'diamond'}),0.560260586,0.306188925,0.21009772,0.375,1.224734043,0.038552133,1.11009772
9,({'diamond'}),({'diamond pendant'}),0.306188925,0.560260586,0.21009772,0.686170213,1.224734043,0.038552133,1.401203555
10,({'diamond'}),({'diamond ring'}),0.306188925,0.785016287,0.267100977,0.872340426,1.111238633,0.026737684,1.684039088
11,({'diamond ring'}),({'diamond'}),0.785016287,0.306188925,0.267100977,0.340248963,1.111238633,0.026737684,1.051625592
12,({'diamond'}),({'multi tourmaline'}),0.306188925,0.237785016,0.100977199,0.329787234,1.386913436,0.02817006,1.13727315
13,({'multi tourmaline'}),({'diamond'}),0.237785016,0.306188925,0.100977199,0.424657534,1.386913436,0.02817006,1.205909725
14,({'diamond bangle'}),({'diamond bracelet'}),0.280130293,0.428338762,0.148208469,0.529069767,1.235166681,0.028217806,1.213897937
15,({'diamond bracelet'}),({'diamond bangle'}),0.428338762,0.280130293,0.148208469,0.346007605,1.235166681,0.028217806,1.100731005
16,({'diamond earring'}),({'diamond bangle'}),0.552117264,0.280130293,0.180781759,0.327433628,1.168861906,0.026116988,1.07033259
17,({'diamond bangle'}),({'diamond earring'}),0.280130293,0.552117264,0.180781759,0.645348837,1.168861906,0.026116988,1.262882469
18,({'diamond necklace'}),({'diamond bangle'}),0.205211726,0.280130293,0.086319218,0.420634921,1.501568845,0.028833197,1.242514836
19,({'diamond bangle'}),({'diamond necklace'}),0.280130293,0.205211726,0.086319218,0.308139535,1.501568845,0.028833197,1.148769606
20,({'diamond pendant'}),({'diamond bangle'}),0.560260586,0.280130293,0.172638436,0.308139535,1.099986479,0.015692474,1.040483946
21,({'diamond bangle'}),({'diamond pendant'}),0.280130293,0.560260586,0.172638436,0.61627907,1.099986479,0.015692474,1.145987563
22,({'diamond bangle'}),({'diamond ring'}),0.280130293,0.785016287,0.239413681,0.854651163,1.088705008,0.019506838,1.479087948
23,({'diamond ring'}),({'diamond bangle'}),0.785016287,0.280130293,0.239413681,0.304979253,1.088705008,0.019506838,1.035752832
24,({'diamond earring'}),({'diamond bracelet'}),0.552117264,0.428338762,0.291530945,0.528023599,1.232724295,0.055037719,1.211207248
25,({'diamond bracelet'}),({'diamond earring'}),0.428338762,0.552117264,0.291530945,0.680608365,1.232724295,0.055037719,1.402299519
26,({'diamond necklace'}),({'diamond bracelet'}),0.205211726,0.428338762,0.122149837,0.595238095,1.38964331,0.0342497,1.412339529
27,({'diamond bracelet'}),({'diamond necklace'}),0.428338762,0.205211726,0.122149837,0.285171103,1.38964331,0.0342497,1.111858064
28,({'diamond pendant'}),({'diamond bracelet'}),0.560260586,0.428338762,0.278501629,0.497093023,1.16051375,0.038520303,1.136713675
